model,score,f1
xgboost,0.964851979155117,0.7478122513922038
random_forest,0.962301807295709,0.7123519458544839
bernoulli_naive_bayes,0.7483091251801752,0.2915106117353308
gaussian_naive_bayes,0.1137598403370662,0.15175634086808876
dummy,0.9182836234615811,0.0
